Date,sentiment_score_7d_avg,news_count,stock_price_7d_avg,Company,Year
2021-06-12,3.5604698076436345,4.0,81171.42857142857,Samsung,2021
2021-06-13,3.4767681938723243,9.0,81171.42857142857,Samsung,2021
2021-06-14,3.4476119368207274,19.0,81028.57142857143,Samsung,2021
2021-06-15,3.391495580687981,18.0,80942.85714285714,Samsung,2021
2021-06-16,3.241914923104924,22.0,80785.71428571429,Samsung,2021
2021-06-17,3.3318081789342764,32.0,80642.85714285714,Samsung,2021
2021-06-18,3.2996451181200626,22.0,80585.71428571429,Samsung,2021
2021-06-19,3.2514864026111328,6.0,80585.71428571429,Samsung,2021
2021-06-20,3.2198292784596156,6.0,80585.71428571429,Samsung,2021
2021-06-21,3.1571355551150964,29.0,80628.57142857143,Samsung,2021
2021-06-22,3.1871269465094803,27.0,80600.0,Samsung,2021
2021-06-23,3.1311456524906793,15.0,80742.85714285714,Samsung,2021
2021-06-24,3.049399189926772,43.0,80814.28571428571,Samsung,2021
2021-06-25,3.049717120961041,23.0,80928.57142857143,Samsung,2021
2021-06-26,3.172346761044998,4.0,80928.57142857143,Samsung,2021
2021-06-27,3.2852007604608846,12.0,80928.57142857143,Samsung,2021
2021-06-28,3.3768280202122924,35.0,80942.85714285714,Samsung,2021
2021-06-29,3.3124078656445,34.0,80928.57142857143,Samsung,2021
2021-06-30,3.4505712286883474,37.0,80814.28571428571,Samsung,2021
2021-07-01,3.473428102587018,29.0,80757.14285714286,Samsung,2021
2021-07-02,3.561981840055118,34.0,80600.0,Samsung,2021
2021-07-03,3.4822207412406585,7.0,80600.0,Samsung,2021
2021-07-04,3.4843217969335543,26.0,80600.0,Samsung,2021
2021-07-05,3.4547784161805333,44.0,80442.85714285714,Samsung,2021
2021-07-06,3.4730640654402953,34.0,80257.14285714286,Samsung,2021
2021-07-07,3.4363337978291675,153.0,80200.0,Samsung,2021
2021-07-08,3.4058403289562285,76.0,80171.42857142857,Samsung,2021
2021-07-09,3.390179703458054,25.0,80042.85714285714,Samsung,2021
