Date,Close,Open,High,Low,Vol.
08/19/2021,146.7,145.03,148,144.5,86.96M
08/18/2021,146.36,149.8,150.72,146.15,86.33M
08/17/2021,150.19,150.23,151.68,149.09,92.23M
08/16/2021,151.12,148.53,151.19,146.47,103.56M
08/13/2021,149.1,148.97,149.44,148.27,59.38M
08/12/2021,148.89,146.19,149.05,145.84,73.78M
08/11/2021,145.86,146.05,146.72,145.53,48.49M
08/10/2021,145.6,146.44,147.71,145.3,69.02M
08/09/2021,146.09,146.2,146.7,145.52,48.91M
08/06/2021,146.14,146.35,147.11,145.63,54.13M
08/05/2021,147.06,146.98,147.84,146.17,46.40M
08/04/2021,146.95,147.27,147.79,146.28,56.37M
08/03/2021,147.36,145.81,148.04,145.18,64.79M
08/02/2021,145.52,146.36,146.95,145.25,62.88M
07/30/2021,145.86,144.38,146.33,144.11,70.44M
07/29/2021,145.64,144.69,146.55,144.58,56.70M
07/28/2021,144.98,144.81,146.97,142.54,118.93M
07/27/2021,146.77,149.12,149.21,145.55,104.82M
07/26/2021,148.99,148.27,149.83,147.7,72.43M
07/23/2021,148.56,147.55,148.72,146.92,71.45M
07/22/2021,146.8,145.94,148.19,145.81,77.34M
07/21/2021,145.4,145.53,146.13,144.63,74.99M
07/20/2021,146.15,143.46,147.1,142.96,96.35M
07/19/2021,142.45,143.75,144.07,141.67,121.43M
07/16/2021,146.39,148.46,149.76,145.88,93.25M
07/15/2021,148.48,149.24,150,147.09,106.82M
07/14/2021,149.15,148.1,149.57,147.68,127.05M
07/13/2021,145.64,144.03,147.46,143.63,100.83M
07/12/2021,144.5,146.21,146.32,144,76.30M
07/09/2021,145.11,142.75,145.65,142.65,99.89M
07/08/2021,143.24,141.58,144.06,140.66,105.58M
07/07/2021,144.57,143.53,144.89,142.66,104.91M
07/06/2021,142.02,140.07,143.15,140.07,108.18M
07/02/2021,139.96,137.9,140,137.75,78.95M
07/01/2021,137.27,136.6,137.33,135.76,52.49M
06/30/2021,136.96,136.17,137.41,135.87,63.26M
06/29/2021,136.33,134.8,136.49,134.35,64.56M
06/28/2021,134.78,133.41,135.25,133.35,62.11M
06/25/2021,133.11,133.46,133.89,132.81,70.78M
06/24/2021,133.41,134.45,134.64,132.93,68.71M
06/23/2021,133.7,133.77,134.32,133.23,60.21M
06/22/2021,133.98,132.13,134.08,131.62,74.78M
06/21/2021,132.3,130.3,132.41,129.21,79.66M
06/18/2021,130.46,130.71,131.51,130.24,108.95M
06/17/2021,131.79,129.8,132.55,129.65,96.72M
06/16/2021,130.15,130.37,130.89,128.46,91.82M
06/15/2021,129.64,129.94,130.6,129.39,62.75M
06/14/2021,130.48,127.82,130.54,127.07,96.91M
06/11/2021,127.35,126.53,127.44,126.1,53.52M
06/10/2021,126.11,127.02,128.19,125.94,71.19M
06/09/2021,127.13,127.21,127.75,126.52,56.88M
06/08/2021,126.74,126.6,128.46,126.21,74.40M
06/07/2021,125.9,126.17,126.32,124.83,71.06M
06/04/2021,125.89,124.07,126.16,123.85,75.17M
06/03/2021,123.54,124.68,124.85,123.13,76.23M
06/02/2021,125.06,124.28,125.24,124.05,59.28M
06/01/2021,124.28,125.08,125.35,123.94,67.64M
05/28/2021,124.61,125.57,125.8,124.55,71.31M
